Gene name	Position within complex	Module	Protein Group Accessions	Protein names	Gene names	Length	Mass	Gene stable ID	HGNC ID	Order
NDUFA8	NA	Q_ND1_module	P51970	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 (Complex I-19kD) (CI-19kD) (Complex I-PGIV) (CI-PGIV) (NADH-ubiquinone oxidoreductase 19 kDa subunit)	NDUFA8	172	"20,105"	ENSG00000119421	HGNC:7692	27
MT-ND5	CI_core	ND5_module	P03915	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	MT-ND5 MTND5 NADH5 ND5	603	"67,027"	ENSG00000198786	HGNC:7461	28
NDUFAB1	NA	ND5_module	O14561	"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)"	NDUFAB1	156	"17,417"	ENSG00000004779	HGNC:7694	29
NDUFB2	NA	ND5_module	O95178	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial (Complex I-AGGG) (CI-AGGG) (NADH-ubiquinone oxidoreductase AGGG subunit)"	NDUFB2	105	"12,058"	ENSG00000090266	HGNC:7697	30
NDUFB3	NA	ND5_module	O43676	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (Complex I-B12) (CI-B12) (NADH-ubiquinone oxidoreductase B12 subunit)	NDUFB3	98	"11,402"	ENSG00000119013	HGNC:7698	31
NDUFB7	NA	ND5_module	P17568	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 (Cell adhesion protein SQM1) (Complex I-B18) (CI-B18) (NADH-ubiquinone oxidoreductase B18 subunit)	NDUFB7	137	"16,402"	ENSG00000099795	HGNC:7702	32
NDUFB8	NA	ND5_module	O95169	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial (Complex I-ASHI) (CI-ASHI) (NADH-ubiquinone oxidoreductase ASHI subunit)"	NDUFB8	186	"21,766"	ENSG00000166136	HGNC:7703	33
NDUFB9	NA	ND5_module	Q9Y6M9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Complex I-B22) (CI-B22) (LYR motif-containing protein 3) (NADH-ubiquinone oxidoreductase B22 subunit)	NDUFB9 LYRM3 UQOR22	179	"21,831"	ENSG00000147684	HGNC:7704	34
NDUFV1	CI_core	N_module	P49821	"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial (EC 7.1.1.2) (Complex I-51kD) (CI-51kD) (NADH dehydrogenase flavoprotein 1) (NADH-ubiquinone oxidoreductase 51 kDa subunit)"	NDUFV1 UQOR1	464	"50,817"	ENSG00000167792	HGNC:7716	35
NDUFV2	CI_core	N_module	P19404	"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 7.1.1.2) (NADH-ubiquinone oxidoreductase 24 kDa subunit)"	NDUFV2	249	"27,392"	ENSG00000178127	HGNC:7717	36
NDUFS1	CI_core	N_module	P28331	"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 7.1.1.2) (Complex I-75kD) (CI-75kD)"	NDUFS1	727	"79,468"	ENSG00000023228	HGNC:7707	37
NDUFA2	NA	N_module	O43678	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	NDUFA2	99	"10,922"	ENSG00000131495	HGNC:7685	38
NDUFA6	NA	N_module	P56556	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 (Complex I-B14) (CI-B14) (LYR motif-containing protein 6) (NADH-ubiquinone oxidoreductase B14 subunit)	NDUFA6 LYRM6 NADHB14	128	"15,137"	ENSG00000184983	HGNC:7690	39
NDUFA7	NA	N_module	O95182	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 (Complex I-B14.5a) (CI-B14.5a) (NADH-ubiquinone oxidoreductase subunit B14.5a)	NDUFA7	113	"12,551"	ENSG00000267855	HGNC:7691	40
NDUFA12	NA	N_module	Q9UI09	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 (13 kDa differentiation-associated protein) (Complex I-B17.2) (CI-B17.2) (CIB17.2) (NADH-ubiquinone oxidoreductase subunit B17.2)	NDUFA12 DAP13	145	"17,114"	ENSG00000184752	HGNC:23987	41
NDUFS4	NA	N_module	O43181	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)"	NDUFS4	175	"20,108"	ENSG00000164258	HGNC:7711	42
NDUFS6	NA	N_module	O75380	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)"	NDUFS6	124	"13,712"	ENSG00000145494	HGNC:7713	43
NDUFV3	NA	N_module	P56181	"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial (Complex I-9kD) (CI-9kD) (NADH-ubiquinone oxidoreductase 9 kDa subunit) (Renal carcinoma antigen NY-REN-4)"	NDUFV3	108	"11,941"	ENSG00000160194	HGNC:7719	44
